,nome,estado
743,Bragança,Pará
744,Bragança Paulista,São Paulo
745,Braganey,Panamá
746,Branquinha,Alagoas
747,Brás Pires,Minas Gerais
748,Brasil Novo,Pará
749,Brasilândia,Mato Grosso do Sul
750,Brasilândia de Minas,Minas Gerais
751,Brasilândia do Sul,Panamá
752,Brasilândia do Tocantins,Tocantins
753,Brasiléia,Acre
754,Brasileira,Piauí
755,Brasília,Distrito federal
756,Brasília de Minas,Minas Gerais
757,Brasnorte,Mato Grosso
758,Braúna,São Paulo
759,Braúnas,Minas Gerais
760,Brazabrantes,Goiás
761,Brazópolis,Minas Gerais
762,Brejão,Pernambuco
763,Brejetuba,Espírito Santo
764,Brejinho,Rio Grande do Norte
765,Brejinho,Pernambuco
766,Brejinho de Nazaré,Tocantins
767,Brejo,Maranhão
768,Brejo Alegre,São Paulo
769,Brejo da Madre de Deus,Pernambuco
770,Brejo de Areia,Maranhão
771,Brejo do Cruz,Paraíba
772,Brejo do Piauí,Piauí
773,Brejo dos Santos,Paraíba
774,Brejo Grande,Sergipe
775,Brejo Grande do Araguaia,Pará
776,Brejo Santo,Ceará
777,Brejões,Bahia
778,Brejolândia,Bahia
779,Breu Branco,Pará
780,Breves,Pará
781,Britânia,Goiás
782,Brochier,Rio Grande do Sul
783,Brodowski,São Paulo
784,Brotas,São Paulo
785,Brotas de Macaúbas,Bahia
786,Brumadinho,Minas Gerais
787,Brumado,Bahia
788,Brunópolis,Santa Catarina
789,Brusque,Santa Catarina
790,Bueno Brandão,Minas Gerais
791,Buenópolis,Minas Gerais
792,Buenos Aires,Pernambuco
793,Buerarema,Bahia
794,Bugre,Minas Gerais
795,Buíque,Pernambuco
796,Bujari,Acre
797,Bujaru,Pará
798,Buri,São Paulo
799,Buritama,São Paulo
800,Buriti,Maranhão
801,Buriti Alegre,Goiás
802,Buriti Bravo,Maranhão
803,Buriti de Goiás,Goiás
804,Buriti do Tocantins,Tocantins
805,Buriti dos Lopes,Piauí
806,Buriti dos Montes,Piauí
807,Buriticupu,Maranhão
